MONTH,SECTOR,DISTRICT,PSU,HUNIT,HHOLD,SERNO,SEX,BYEAR,BMONTH,AGE,EDU,CUEDU,P21,Q2,Q4,Q6_A,Q47,Q48,Q50,Q51,Q52,employment_status
12,Rural,Mullaitivu,40,7,1,5,Male,2003,2.0,20,Passed Grade 12,Does not attend,Not studying,1.0,,,,,,,,Employed
12,Rural,Mullaitivu,40,7,1,6,Male,2005,7.0,18,Passed G.C.E.(O/L)/ N.C.G.E. ,School,Currently studying/training,2.0,2.0,2.0,2.0,,,,1.0,Not in Labour Force
12,Rural,Mullaitivu,41,10,1,3,Female,2006,2.0,17,Passed G.C.E.(O/L)/ N.C.G.E. ,School,Currently studying/training,2.0,2.0,2.0,2.0,,,,1.0,Not in Labour Force
1,Rural,Kilinochchi,1,5,1,3,Male,1993,8.0,29, Passed G.C.E.(A/L)/ H.N.C.E. ,Does not attend,Not studying,1.0,,,,,,,,Employed
1,Rural,Kilinochchi,1,5,1,4,Male,1999,6.0,23, Passed G.C.E.(A/L)/ H.N.C.E. ,Other Educational Institution,Not studying,1.0,,,,,,,,Employed
1,Rural,Kilinochchi,2,3,1,3,Male,2005,4.0,17,Passed G.C.E.(O/L)/ N.C.G.E. ,School,Currently studying/training,2.0,2.0,2.0,2.0,,,,1.0,Not in Labour Force
1,Rural,Kilinochchi,2,7,1,2,Male,2004,12.0,18,Passed Grade 10,Does not attend,Not studying,2.0,2.0,2.0,1.0,2.0,3.0,1.0,,Not in Labour Force
1,Rural,Kilinochchi,3,1,1,3,Female,1998,12.0,24,Passed Grade 10,Does not attend,Not studying,2.0,2.0,2.0,2.0,,,,2.0,Not in Labour Force
1,Rural,Kilinochchi,3,1,1,4,Female,2005,11.0,17,Passed Grade 9,Does not attend,Not studying,2.0,2.0,2.0,2.0,,,,2.0,Not in Labour Force
1,Rural,Kilinochchi,3,9,1,3,Female,2003,3.0,19,Passed Grade 12,School,Currently studying/training,2.0,2.0,2.0,2.0,,,,1.0,Not in Labour Force
1,Rural,Kilinochchi,3,9,1,4,Female,2005,8.0,17,Passed Grade 10,School,Currently studying/training,2.0,2.0,2.0,2.0,,,,1.0,Not in Labour Force
1,Rural,Kilinochchi,4,3,1,3,Female,2006,5.0,16,Passed Grade 10,School,Currently studying/training,2.0,2.0,2.0,2.0,,,,1.0,Not in Labour Force
1,Rural,Kilinochchi,4,7,1,3,Female,2005,8.0,17,Passed G.C.E.(O/L)/ N.C.G.E. ,School,Currently studying/training,2.0,2.0,2.0,2.0,,,,1.0,Not in Labour Force
2,Rural,Kilinochchi,5,1,1,3,Female,2005,11.0,17,Passed G.C.E.(O/L)/ N.C.G.E. ,School,Currently studying/training,2.0,2.0,2.0,2.0,,,,1.0,Not in Labour Force
2,Rural,Kilinochchi,5,9,1,3,Male,2006,9.0,16,Passed Grade 10,School,Currently studying/training,2.0,2.0,2.0,2.0,,,,1.0,Not in Labour Force
2,Rural,Kilinochchi,6,3,1,3,Male,2000,10.0,22,Passed Grade 10,Does not attend,Not studying,1.0,,,,,,,,Employed
2,Rural,Kilinochchi,6,7,1,2,Male,2000,8.0,22,Passed Grade 10,Does not attend,Not studying,2.0,2.0,2.0,2.0,,,,2.0,Not in Labour Force
2,Rural,Kilinochchi,6,7,1,3,Female,2002,7.0,20,Passed Grade 10,Does not attend,Not studying,1.0,,,,,,,,Employed
2,Rural,Kilinochchi,6,7,1,4,Female,2002,7.0,20,Passed Grade 10,Does not attend,Not studying,1.0,,,,,,,,Employed
2,Rural,Kilinochchi,6,7,1,5,Male,2002,2.0,21,Passed Grade 10,Does not attend,Not studying,1.0,,,,,,,,Employed
2,Rural,Kilinochchi,6,10,1,4,Female,2005,11.0,17,Passed Grade 10,Does not attend,Not studying,2.0,2.0,2.0,2.0,,,,2.0,Not in Labour Force
2,Rural,Kilinochchi,7,8,1,3,Female,1999,10.0,23,Passed Grade 12,Vocational / Technical Institution,Currently studying/training,2.0,2.0,2.0,2.0,,,,1.0,Not in Labour Force
2,Rural,Kilinochchi,7,8,1,4,Female,2004,1.0,19,Passed Grade 12,School,Currently studying/training,2.0,2.0,2.0,2.0,,,,1.0,Not in Labour Force
3,Rural,Kilinochchi,9,8,1,3,Male,2001,3.0,22,Passed Grade 10,Does not attend,Not studying,2.0,2.0,2.0,2.0,,,,4.0,Not in Labour Force
3,Rural,Kilinochchi,9,8,1,4,Male,2005,1.0,18,Passed Grade 10,Other Educational Institution,Not studying,2.0,2.0,2.0,2.0,,,,1.0,Not in Labour Force
3,Rural,Kilinochchi,10,6,1,3,Male,2004,2.0,19,Passed Grade 12,School,Currently studying/training,2.0,2.0,2.0,2.0,,,,1.0,Not in Labour Force
4,Rural,Kilinochchi,11,8,1,1,Male,1993,12.0,29,Passed Grade 10,Does not attend,Not studying,1.0,,,,,,,,Employed
4,Rural,Kilinochchi,11,8,1,2,Female,1996,11.0,26,Passed Grade 10,Does not attend,Not studying,2.0,2.0,2.0,2.0,,,,2.0,Not in Labour Force
4,Rural,Kilinochchi,12,6,1,3,Male,2006,7.0,16,Passed Grade 10,School,Currently studying/training,2.0,2.0,2.0,2.0,,,,1.0,Not in Labour Force
4,Rural,Kilinochchi,14,7,1,3,Female,2000,8.0,22, Passed G.C.E.(A/L)/ H.N.C.E. ,Does not attend,Not studying,2.0,2.0,2.0,3.0,,,,,Not in Labour Force
5,Rural,Kilinochchi,15,1,1,3,Male,2007,11.0,15,Passed Grade 10,School,Currently studying/training,2.0,2.0,2.0,2.0,,,,1.0,Not in Labour Force
5,Rural,Kilinochchi,15,6,1,2,Male,1998,2.0,25,Passed Grade 10,Does not attend,Not studying,1.0,,,,,,,,Employed
5,Rural,Kilinochchi,15,6,1,3,Male,2003,9.0,19,Passed Grade 10,Does not attend,Not studying,1.0,,,,,,,,Employed
5,Rural,Kilinochchi,15,6,1,4,Male,2004,9.0,18,Passed Grade 10,Does not attend,Currently studying/training,1.0,,,,,,,,Employed
5,Rural,Kilinochchi,15,10,1,3,Male,2004,7.0,18,Passed Grade 12,School,Currently studying/training,2.0,2.0,2.0,2.0,,,,1.0,Not in Labour Force
5,Rural,Kilinochchi,15,10,1,4,Female,2006,8.0,16,Passed Grade 10,School,Currently studying/training,2.0,2.0,2.0,2.0,,,,1.0,Not in Labour Force
5,Rural,Kilinochchi,16,9,1,2,Female,2000,1.0,23,Passed Grade 10,Does not attend,Not studying,1.0,,,,,,,,Employed
6,Rural,Kilinochchi,18,5,1,2,Female,1995,10.0,27, Passed G.C.E.(A/L)/ H.N.C.E. ,Does not attend,Not studying,1.0,,,,,,,,Employed
6,Rural,Kilinochchi,19,4,1,3,Female,2007,7.0,15,Passed Grade 10,School,Currently studying/training,2.0,2.0,2.0,2.0,,,,1.0,Not in Labour Force
6,Rural,Kilinochchi,19,8,1,3,Male,2005,4.0,18,Passed Grade 12,School,Currently studying/training,2.0,2.0,2.0,2.0,,,,1.0,Not in Labour Force
6,Rural,Kilinochchi,20,6,1,2,Female,2001,4.0,22, Passed G.C.E.(A/L)/ H.N.C.E. ,Does not attend,Not studying,2.0,2.0,2.0,2.0,,,,2.0,Not in Labour Force
6,Rural,Kilinochchi,20,6,1,3,Female,2004,12.0,18,Passed Grade 10,Does not attend,Not studying,2.0,2.0,2.0,2.0,,,,2.0,Not in Labour Force
7,Rural,Kilinochchi,21,8,1,3,Male,1995,7.0,28,Passed Grade 10,Does not attend,Not studying,1.0,,,,,,,,Employed
7,Rural,Kilinochchi,21,8,1,4,Female,1999,11.0,23,Passed G.C.E.(O/L)/ N.C.G.E. ,Does not attend,Not studying,1.0,,,,,,,,Employed
7,Rural,Kilinochchi,21,8,1,6,Male,2001,3.0,22,Passed Grade 10,Does not attend,Not studying,1.0,,,,,,,,Employed
7,Rural,Kilinochchi,22,6,1,3,Female,2006,3.0,17,Passed G.C.E.(O/L)/ N.C.G.E. ,School,Currently studying/training,2.0,2.0,2.0,2.0,,,,1.0,Not in Labour Force
